id,year,school,dorm,mode,speed,target_units
48,4,engineering,Govco Suites,bike,5.76,14
49,4,hs_interdisc,Warehaus,walk,1.51,15
50,4,hs_interdisc,Roble Hall,bike,4.48,14
51,2,hs_interdisc,Faisan,bike,4.66,14
52,2,hs_social,Kimball,bike,5.65,18
53,2,hs_interdisc,Hammarskjold,bike,5.45,14
54,3,engineering,Narnia,walk,1.58,14
55,3,engineering,Mars,walk,1.67,14
56,4,hs_natural,Kappa Alpha Theta,bike,5.43,12
57,2,hs_interdisc,Casa Zapata,bike,4.31,17
58,3,hs_interdisc,576 Alvarado,bike,5.44,18
59,3,hs_humanities,Crothers Memorial,walk,1.34,15
60,2,hs_social,Toyon,bike,5.62,15
61,2,engineering,Kimball,walk,1.36,16
62,2,engineering,Junipero,bike,5.69,15
63,2,engineering,Terra,bike,5.71,16
64,4,hs_interdisc,Crothers Memorial,bike,5.23,15
65,2,hs_natural,Kimball,bike,4.8,15
66,4,hs_social,Muwekma-Tah-Ruk,electric,7.76,14
67,4,engineering,EVGR,bike,5.17,16
68,4,engineering,Ng,walk,1.61,16
69,4,hs_social,Ujamaa,walk,1.32,12
70,4,engineering,Mirrielees,walk,1.62,14
71,4,hs_social,Govco Suites,walk,1.38,17
72,3,hs_natural,Faisan,bike,4.35,14
73,3,doerr,Phi Kappa Psi,walk,1.55,15
74,4,hs_social,Loro,walk,1.37,12
75,2,hs_social,Sally Ride,bike,4.26,17
76,2,hs_interdisc,Toyon,bike,5.69,15
77,3,hs_interdisc,Toyon,walk,1.35,15
78,2,hs_interdisc,Roble Hall,bike,4.74,13
79,1,hs_interdisc,Robinson,walk,1.47,18
80,1,hs_interdisc,Arroyo,bike,5.17,15
81,2,hs_social,Roble Hall,bike,5.13,20
82,3,hs_social,Mirrielees,bike,4.91,14
83,4,engineering,Govco Suites,bike,4.21,16
84,4,engineering,Murray,bike,4.31,16
85,3,engineering,Govco Suites,bike,4.67,16
86,3,engineering,Roble Hall,electric,7.99,15
87,2,hs_social,Toyon,bike,5.15,14
88,1,hs_interdisc,Alondra,walk,1.63,18
89,3,hs_natural,EVGR,walk,1.48,14
90,1,hs_social,West Lagunita,bike,4.27,13
91,4,engineering,Ng,bike,4.88,17
92,2,engineering,Gavilan,bike,5.15,14
93,3,hs_social,Burbank,bike,4.97,16
94,4,hs_interdisc,Toussaint,bike,4.91,14
95,3,hs_natural,Norcliffe,bike,4.96,13
96,2,hs_humanities,Sally Ride,walk,1.44,16
97,1,hs_humanities,West Lagunita,bike,5.08,14
98,2,hs_social,Sally Ride,electric,7.24,17
99,4,hs_humanities,Mars,electric,7.56,12
100,1,hs_social,West Lagunita,bike,5.18,18
101,4,engineering,Narnia,bike,4.62,12
102,1,hs_social,Donner,electric,6.93,12
103,2,hs_social,Burbank,bike,5.44,16
104,4,engineering,Roble Hall,walk,1.34,15
105,3,hs_social,Mirrielees,bike,5.44,15
106,1,hs_interdisc,Burbank,walk,1.51,13
107,1,hs_interdisc,Casa Zapata,bike,4.43,12
108,2,hs_natural,Kimball,bike,4.71,14
109,4,engineering,Okada,bike,5.29,16
110,4,engineering,Roble Hall,walk,1.53,12
111,2,hs_humanities,Naranja,walk,1.45,12
112,1,engineering,West Lagunita,bike,4.62,14
113,4,hs_social,Columbae,bike,5.61,12
114,2,hs_humanities,Norcliffe,bike,5.06,15
115,2,engineering,Kimball,walk,1.65,15
116,3,hs_social,Xanadu,bike,4.86,17
117,3,hs_natural,Mirrielees,bike,4.33,16
118,1,hs_social,Otero,bike,4.78,16
119,4,engineering,Ujamaa,walk,1.33,13
120,3,engineering,Burbank,walk,1.45,17
121,3,engineering,Adelfa,bike,4.75,14
122,1,hs_natural,Branner,bike,4.88,12
123,2,hs_social,Enchanted Broccoli Forest,bike,4.58,12
124,2,hs_social,Faisan,bike,5.67,12
125,2,hs_social,Otero,walk,1.36,15
126,1,engineering,Branner,walk,1.55,17
127,3,hs_interdisc,Mirrielees,walk,1.64,18
128,1,hs_social,Burbank,bike,5.65,12
129,3,doerr,Roble Hall,bike,4.57,16
130,3,engineering,Sally Ride,bike,4.14,15
131,2,engineering,Muwekma-Tah-Ruk,bike,5.27,18
132,2,hs_natural,Roble Hall,walk,1.36,12
133,1,hs_interdisc,Muwekma-Tah-Ruk,walk,1.31,18
134,3,engineering,Mirrielees,bike,4.97,12
135,2,engineering,Roble Hall,bike,5.19,12
136,1,hs_interdisc,Castano,bike,4.46,13
137,3,engineering,550 Lasuen,bike,5.02,14
138,4,hs_interdisc,Trancos,walk,1.62,15
139,2,engineering,Kappa Alpha Theta,bike,5.23,15
140,4,engineering,Kimball,bike,5.64,12
141,2,hs_social,Kappa Alpha,bike,4.93,17
142,3,hs_social,Hammarskjold,walk,1.66,13
143,4,engineering,Kimball,bike,4.04,18
144,2,hs_social,Kappa Alpha Theta,bike,4.57,20
145,3,hs_interdisc,Kappa Sigma,bike,4.84,16
146,2,engineering,Okada,walk,1.57,12
147,4,engineering,Otero,bike,5.59,13
148,1,engineering,Larkin,bike,4.47,15
149,2,hs_humanities,Twain,bike,4.2,14
150,2,hs_social,Kappa Alpha,bike,5.77,12
151,4,engineering,Crothers Memorial,bike,5.0,12
152,4,hs_interdisc,Columbae,walk,1.4,14
153,4,hs_interdisc,Narnia,bike,4.67,15
154,4,hs_social,Kimball,bike,4.22,14
155,1,engineering,Burbank,walk,1.47,16
156,1,hs_social,Burbank,bike,4.61,16
157,1,engineering,Alondra,bike,5.6,13
158,3,hs_interdisc,Alpha Phi/KKG,bike,4.78,15
159,1,hs_humanities,Donner,electric,6.33,16
160,1,engineering,Branner,walk,1.67,16
161,3,hs_interdisc,Roble Hall,bike,4.34,12
162,4,hs_social,Toyon,walk,1.67,12
163,1,engineering,Ujamaa,bike,5.35,15
164,1,hs_humanities,West Lagunita,bike,4.0,12
165,2,engineering,Adelfa,walk,1.36,14
166,2,hs_humanities,Kimball,bike,4.83,14
167,3,hs_interdisc,EVGR,bike,4.32,16
168,4,engineering,Toyon,bike,5.35,16
169,3,hs_social,Adelfa,bike,4.66,17
170,2,hs_interdisc,Toyon,bike,5.63,16
171,3,engineering,Roble Hall,bike,4.23,15
172,3,hs_social,Terra,walk,1.43,17
173,4,hs_natural,Ng,bike,4.23,14
174,1,engineering,Soto,bike,4.36,16
175,3,hs_humanities,Phi Kappa Psi,bike,5.13,17
176,4,engineering,680 Lomita,walk,1.46,14
177,3,hs_interdisc,EVGR,bike,4.58,16
178,2,hs_interdisc,Kimball,walk,1.67,16
179,4,hs_humanities,Pluto,bike,5.37,19
180,2,engineering,Twain,bike,4.46,15
181,2,engineering,Columbae,bike,4.3,14
182,2,hs_social,Enchanted Broccoli Forest,walk,1.61,12
183,2,doerr,Crothers Memorial,walk,1.47,20
184,4,doerr,Casa Zapata,walk,1.62,15
185,4,hs_social,Muwekma-Tah-Ruk,bike,4.32,14
186,3,hs_interdisc,680 Lomita,bike,5.79,17
187,1,hs_social,Otero,bike,4.83,16
188,1,hs_social,Schiff,bike,5.5,13
189,2,engineering,Junipero,bike,4.88,14
190,1,hs_natural,Crothers,walk,1.51,13
191,1,engineering,West Lagunita,bike,4.06,14
192,4,engineering,Crothers Memorial,bike,5.48,14
193,4,engineering,Roble Hall,bike,4.46,15
194,3,hs_social,Toyon,bike,4.39,13
195,4,engineering,Okada,walk,1.37,17
196,2,doerr,Otero,bike,4.81,15
197,4,hs_humanities,Mirrielees,walk,1.39,14
198,2,hs_social,Roble Hall,bike,5.49,18
199,1,engineering,Cedro,bike,4.47,13
200,4,hs_natural,Enchanted Broccoli Forest,bike,4.49,15
201,2,hs_interdisc,Toyon,walk,1.3,12
202,4,hs_interdisc,Loro,bike,4.85,17
203,4,engineering,Kimball,bike,4.35,13
204,1,engineering,Castano,bike,4.32,14
205,4,engineering,Roble Hall,walk,1.44,15
206,3,engineering,Mirrielees,bike,4.18,12
207,1,hs_interdisc,Crothers,bike,5.36,17
208,3,doerr,Ujamaa,bike,4.58,13
209,3,hs_natural,Gavilan,electric,7.0,15
210,2,hs_interdisc,Okada,bike,4.35,18
211,4,hs_interdisc,Roble Hall,bike,4.78,15
212,4,hs_humanities,Roble Hall,bike,4.81,18
213,2,hs_social,Roble Hall,bike,4.62,14
214,1,engineering,Cardenal,bike,4.39,14
215,4,engineering,Govco Suites,bike,5.08,16
216,1,hs_humanities,West Lagunita,bike,5.04,15
217,1,hs_social,Arroyo,walk,1.6,12
218,2,hs_interdisc,Cardenal,bike,4.6,14
219,2,hs_interdisc,Loro,walk,1.61,12
220,3,hs_humanities,EVGR,bike,4.34,13
221,4,engineering,Otero,bike,4.87,14
222,4,hs_interdisc,Sally Ride,bike,4.75,12
223,4,hs_natural,Murray,bike,5.57,14
224,3,hs_interdisc,BOB,walk,1.57,14
225,3,engineering,Toyon,bike,4.39,14
226,1,engineering,Crothers,bike,4.73,15
227,4,engineering,Sigma Phi Epsilon,bike,5.14,13
228,2,engineering,Roble Hall,electric,7.92,15
229,3,engineering,Mirrielees,walk,1.67,12
230,1,engineering,Ujamaa,walk,1.51,13
231,3,engineering,Twain,walk,1.69,16
232,1,engineering,Otero,walk,1.65,16
233,4,hs_humanities,Govco Suites,bike,4.23,15
234,3,hs_interdisc,Mirrielees,electric,7.41,12
235,2,engineering,Ng,bike,4.16,12
236,4,hs_interdisc,EVGR,bike,4.06,15
237,1,hs_humanities,Castano,bike,5.69,12
238,1,engineering,Alondra,walk,1.38,16
239,4,hs_interdisc,Robert Moore North,walk,1.62,19
240,4,hs_humanities,Norcliffe,walk,1.39,16
241,4,engineering,Toussaint,bike,4.33,17
242,3,hs_social,Twain,walk,1.59,16
243,4,engineering,Muwekma-Tah-Ruk,bike,4.94,14
244,2,doerr,Meier,bike,4.76,15
245,3,engineering,Sigma Nu,walk,1.69,18
246,4,hs_interdisc,Burbank,bike,5.17,14
247,2,hs_interdisc,Kairos,bike,4.63,15
248,3,hs_humanities,Roble Hall,bike,5.46,15
249,3,hs_interdisc,Kimball,bike,4.24,17
250,3,hs_social,Mirrielees,bike,4.2,12
251,1,engineering,Lantana,bike,5.59,15
252,3,engineering,Norcliffe,bike,4.27,15
253,2,engineering,Roble Hall,bike,4.13,12
254,4,hs_social,Govco Suites,bike,5.48,13
255,2,engineering,Meier,bike,4.43,14
256,2,engineering,Okada,bike,4.55,12
257,1,hs_social,Okada,bike,5.16,12
258,4,hs_interdisc,Mirrielees,bike,5.42,17
259,1,engineering,Donner,bike,4.73,15
260,3,hs_natural,Muwekma-Tah-Ruk,walk,1.62,12
261,4,hs_natural,Mirrielees,bike,4.72,14
262,3,hs_humanities,Norcliffe,bike,4.53,15
263,1,engineering,Otero,bike,5.5,13
264,1,engineering,Ujamaa,bike,5.64,15
265,3,hs_natural,Ng,bike,5.74,15
266,2,hs_interdisc,Gavilan,bike,5.39,14
267,4,engineering,Cardenal,bike,5.79,15
268,1,hs_interdisc,Ujamaa,walk,1.46,12
269,2,engineering,Crothers Memorial,bike,4.86,12
270,3,hs_social,EVGR,bike,4.73,15
271,1,hs_social,Potter,walk,1.49,12
272,1,hs_interdisc,Lantana,bike,5.63,14
273,2,engineering,Gavilan,walk,1.68,16
274,1,hs_natural,West Lagunita,walk,1.36,15
275,4,engineering,Mirrielees,bike,5.53,18
276,1,hs_natural,Lantana,bike,5.37,14
277,4,hs_humanities,Narnia,bike,5.58,14
278,3,hs_natural,Pluto,bike,4.21,12
279,3,hs_interdisc,Kappa Alpha,bike,5.42,13
280,1,hs_social,Soto,bike,4.34,15
281,4,hs_social,Mirrielees,electric,6.7,14
282,2,doerr,Casa Zapata,bike,5.58,15
283,4,engineering,EVGR,bike,4.54,14
284,2,hs_interdisc,Twain,bike,4.04,12
285,3,hs_interdisc,Junipero,walk,1.44,13
286,1,engineering,Okada,walk,1.6,14
287,4,hs_social,Mirrielees,walk,1.51,14
288,1,engineering,Branner,electric,7.42,15
289,3,hs_interdisc,Toyon,bike,5.15,17
290,4,hs_natural,Norcliffe,bike,4.25,12
291,4,hs_humanities,Naranja,walk,1.38,17
292,1,engineering,Muwekma-Tah-Ruk,walk,1.35,13
293,3,hs_social,Robert Moore North,bike,5.15,14
294,3,hs_interdisc,Norcliffe,bike,4.31,13
295,2,engineering,Gavilan,bike,4.59,16
296,4,engineering,Storey,bike,4.39,13
297,4,engineering,Hammarskjold,bike,5.0,18
298,3,hs_interdisc,Crothers Memorial,bike,5.21,13
299,1,hs_interdisc,West Lagunita,walk,1.39,13
300,3,engineering,Govco Suites,bike,5.37,12
301,2,hs_interdisc,Pi Beta Phi,bike,4.95,12
302,3,engineering,Trancos,bike,5.66,16
303,2,hs_humanities,Adelfa,walk,1.39,12
304,1,hs_interdisc,Potter,bike,4.06,14
305,1,hs_humanities,Mirlo,bike,4.59,14
306,2,hs_social,Faisan,bike,4.9,15
307,4,doerr,Kimball,bike,4.45,15
308,3,doerr,EVGR,bike,5.15,12
309,4,engineering,aKDPhi/Chi Omega,bike,4.55,16
310,4,doerr,Mirrielees,bike,4.48,12
311,3,hs_interdisc,Trancos,bike,4.73,17
312,2,engineering,Okada,walk,1.64,12
313,1,hs_social,Arroyo,walk,1.43,13
314,3,engineering,Casa Zapata,walk,1.53,14
315,4,engineering,Kappa Sigma,bike,4.8,17
316,4,hs_natural,Cardenal,walk,1.66,14
317,1,engineering,Rinconada,bike,5.08,12
318,2,engineering,Meier,bike,4.4,16
319,2,hs_social,Potter,bike,5.16,12
320,4,hs_natural,Jerry,walk,1.49,12
321,1,engineering,Castano,bike,4.75,14
322,4,hs_humanities,Kimball,bike,4.03,16
323,4,engineering,Storey,electric,7.81,13
324,3,engineering,Mirrielees,bike,5.11,13
325,3,engineering,Neptune,walk,1.59,12
326,2,hs_interdisc,Kimball,electric,7.47,16
327,1,engineering,Donner,bike,5.32,12
328,4,engineering,Mirrielees,walk,1.55,12
329,2,hs_social,Terra,walk,1.34,13
330,2,engineering,Meier,bike,4.51,12
331,4,hs_interdisc,Govco Suites,bike,5.72,14
332,1,hs_natural,Donner,walk,1.36,13
333,1,engineering,Alondra,bike,4.75,14
334,2,engineering,Roble Hall,bike,5.17,12
335,1,engineering,West Lagunita,bike,5.46,15
336,3,hs_interdisc,Potter,bike,4.62,13
337,1,hs_social,Okada,walk,1.54,15
338,2,hs_social,Sally Ride,bike,5.77,14
339,2,hs_interdisc,Otero,bike,5.78,14
340,2,hs_natural,Kimball,bike,5.76,16
341,1,engineering,Okada,bike,4.91,13
342,2,hs_humanities,Naranja,electric,6.52,14
343,4,hs_interdisc,EAST,bike,4.7,14
344,4,engineering,Yost,walk,1.46,16
345,3,engineering,550 Lasuen,bike,4.64,16
346,3,hs_interdisc,Roble Hall,bike,5.03,15
347,4,engineering,Ujamaa,bike,4.22,20
348,3,engineering,Govco Suites,bike,5.09,13
349,3,doerr,Norcliffe,walk,1.51,14
350,1,hs_interdisc,Branner,bike,4.48,14
351,1,engineering,Lantana,walk,1.41,12
352,2,engineering,Kimball,bike,4.16,15
353,1,hs_social,Muwekma-Tah-Ruk,bike,4.91,14
354,2,hs_social,Trancos,bike,5.61,16
355,4,hs_natural,Adelfa,bike,4.17,18
356,4,engineering,Synergy,walk,1.61,13
357,3,hs_natural,Otero,bike,4.75,15
358,2,engineering,Adams,bike,5.58,15
359,4,hs_interdisc,Meier,bike,4.75,15
360,3,engineering,Norcliffe,bike,4.74,17
361,2,hs_humanities,aKDPhi/Chi Omega,electric,7.68,14
362,3,engineering,Govco Suites,bike,4.47,14
363,1,hs_interdisc,Cardenal,walk,1.54,16
364,1,hs_interdisc,Lantana,bike,4.21,12
365,4,engineering,Meier,bike,5.29,13
366,1,engineering,Muwekma-Tah-Ruk,bike,5.57,16
367,4,engineering,Crothers Memorial,bike,5.71,13
368,2,hs_interdisc,EAST,walk,1.66,15
369,3,engineering,Ujamaa,bike,4.61,15
370,1,hs_humanities,Potter,bike,4.25,14
371,2,hs_interdisc,Kimball,walk,1.45,15
372,2,engineering,Loro,bike,4.7,13
373,3,hs_social,Roble Hall,bike,5.74,14
374,4,hs_social,Burbank,bike,5.26,16
375,2,engineering,Roble Hall,walk,1.6,14
376,3,hs_natural,Robert Moore North,bike,5.36,13
377,4,engineering,Delta Delta Delta,walk,1.64,15
378,2,engineering,Kimball,bike,4.37,12
379,4,hs_social,Kimball,bike,5.75,13
380,3,engineering,Yost,walk,1.59,13
381,1,hs_social,Okada,bike,4.85,12
382,2,engineering,Norcliffe,bike,5.08,16
383,4,engineering,Roble Hall,walk,1.44,16
384,1,hs_social,Donner,bike,4.06,12
385,2,engineering,Loro,electric,6.42,18
386,3,hs_interdisc,Kappa Alpha,bike,5.49,15
387,2,hs_social,Kappa Alpha,bike,5.02,12
388,1,engineering,Cardenal,bike,5.3,16
389,4,hs_natural,Okada,walk,1.32,13
390,1,hs_interdisc,West Lagunita,bike,4.88,15
391,4,engineering,Govco Suites,walk,1.49,15
392,3,hs_social,Adams,bike,4.66,14
393,2,engineering,Kimball,bike,4.66,16
394,4,hs_interdisc,Crothers Memorial,bike,5.53,12
395,1,engineering,Branner,bike,5.78,16
396,3,engineering,Kappa Alpha Theta,bike,4.65,14
397,3,doerr,Adams,walk,1.35,16
398,3,hs_social,Roth,bike,5.45,12
399,3,engineering,Meier,bike,5.23,13
400,2,hs_interdisc,Meier,walk,1.39,14
401,1,hs_humanities,Crothers,walk,1.61,18
402,4,hs_social,Casa Zapata,bike,5.14,14
403,4,hs_social,Kappa Alpha,bike,5.26,13
404,3,hs_social,Twain,bike,5.8,16
405,1,hs_interdisc,Donner,bike,4.09,14
406,3,hs_interdisc,Synergy,bike,5.15,13
407,3,hs_interdisc,Kappa Sigma,walk,1.41,14
408,4,hs_social,Okada,bike,4.4,12
409,4,hs_interdisc,Kappa Alpha Theta,bike,4.8,12
410,3,hs_interdisc,Roble Hall,walk,1.36,17
411,2,hs_humanities,Norcliffe,walk,1.34,17
412,4,engineering,Toussaint,bike,4.2,12
413,4,hs_interdisc,Burbank,bike,5.59,16
414,3,engineering,Govco Suites,bike,4.06,14
415,4,hs_natural,EAST,walk,1.68,13
416,3,hs_interdisc,Toyon,bike,4.22,12
417,1,hs_natural,Alondra,walk,1.52,13
418,1,hs_interdisc,Schiff,bike,5.64,14
419,4,hs_humanities,Govco Suites,bike,5.12,15
420,3,engineering,EVGR,bike,5.41,14
421,1,hs_interdisc,Larkin,bike,4.61,14
422,4,engineering,Meier,bike,4.98,19
423,3,hs_humanities,Murray,bike,4.05,15
424,2,engineering,Sally Ride,bike,5.34,15
425,3,engineering,Ujamaa,walk,1.56,16
426,1,hs_interdisc,Potter,bike,4.98,12
427,3,hs_natural,Crothers Memorial,bike,4.05,12
428,1,engineering,Branner,bike,4.6,13
429,2,hs_interdisc,Trancos,bike,5.17,17
430,4,engineering,Roble Hall,bike,5.71,15
431,3,hs_interdisc,Roth,walk,1.36,19
432,1,hs_social,Schiff,bike,5.47,12
433,4,engineering,Junipero,walk,1.64,17
434,4,hs_natural,EVGR,walk,1.67,13
435,2,hs_interdisc,Kimball,bike,4.43,16
436,2,hs_natural,Sally Ride,bike,4.77,13
437,1,hs_natural,Mirlo,bike,5.37,15
438,4,engineering,Mirrielees,bike,5.44,16
439,4,doerr,Sally Ride,bike,5.34,13
440,4,engineering,Enchanted Broccoli Forest,walk,1.39,17
441,2,engineering,Gavilan,bike,5.45,14
442,1,hs_interdisc,Donner,bike,4.81,14
443,2,hs_interdisc,Naranja,bike,5.47,18
444,2,hs_natural,Hammarskjold,walk,1.53,14
445,3,engineering,550 Lasuen,bike,4.92,13
446,2,hs_natural,Terra,bike,4.3,17
447,1,engineering,Burbank,bike,4.96,14
448,4,hs_social,Toyon,bike,4.41,13
449,3,hs_humanities,Ng,walk,1.36,17
450,1,hs_interdisc,Muwekma-Tah-Ruk,walk,1.52,14
451,4,engineering,Roble Hall,walk,1.6,14
452,1,engineering,Casa Zapata,walk,1.42,16
453,2,engineering,Adelfa,walk,1.51,18
454,3,engineering,Govco Suites,walk,1.61,16
455,4,engineering,Paloma,bike,4.06,17
456,3,hs_natural,Okada,bike,5.44,17
457,3,hs_social,aKDPhi/Chi Omega,bike,5.65,16
458,2,engineering,Robert Moore North,bike,5.22,15
459,4,engineering,ZAP,bike,4.09,14
460,2,hs_interdisc,Norcliffe,bike,4.24,17
461,1,hs_interdisc,Schiff,walk,1.58,13
462,3,hs_humanities,Roble Hall,bike,4.14,12
463,4,hs_natural,Kairos,bike,4.64,13
464,4,doerr,Junipero,walk,1.54,13
465,1,engineering,Cardenal,walk,1.37,14
466,4,hs_social,Ujamaa,walk,1.52,15
467,3,hs_interdisc,EVGR,bike,5.22,16
468,4,doerr,Neptune,bike,4.4,13
469,3,engineering,Toyon,bike,5.49,16
470,3,hs_interdisc,EAST,bike,4.08,14
471,2,hs_interdisc,Gavilan,walk,1.54,17
472,1,hs_social,Schiff,bike,4.78,14
473,2,hs_social,Robert Moore North,bike,4.78,16
474,2,hs_interdisc,Kimball,walk,1.47,16
475,2,hs_interdisc,Pi Beta Phi,walk,1.55,12
476,1,engineering,Crothers,walk,1.41,14
477,3,engineering,Gavilan,walk,1.52,16
478,3,engineering,Potter,bike,4.19,15
479,1,doerr,Cedro,bike,5.78,13
480,4,engineering,Pi Beta Phi,bike,4.69,16
481,1,doerr,Schiff,bike,5.74,16
482,4,hs_interdisc,Durand,walk,1.51,16
483,2,engineering,Gavilan,bike,4.06,13
484,4,engineering,Faisan,bike,4.11,12
485,3,hs_interdisc,Roble Hall,bike,5.07,16
486,3,hs_natural,Terra,bike,4.58,12
487,1,engineering,Muwekma-Tah-Ruk,walk,1.63,13
488,2,hs_interdisc,Kimball,bike,5.72,14
489,1,hs_social,Alondra,bike,4.93,13
490,1,engineering,Castano,bike,5.44,13
491,1,hs_interdisc,Lantana,bike,4.58,13
492,3,engineering,Toyon,bike,4.23,17
493,3,hs_natural,Synergy,bike,5.29,14
494,3,engineering,Otero,bike,4.12,12
495,1,hs_interdisc,Alondra,bike,5.42,13
496,2,hs_interdisc,Roble Hall,bike,5.18,13
497,4,engineering,Govco Suites,bike,4.44,12
498,1,hs_social,Cedro,walk,1.33,15
499,2,hs_natural,Trancos,bike,4.5,16
500,4,engineering,Meier,walk,1.46,12
501,2,hs_interdisc,Kimball,walk,1.41,18
502,3,engineering,Xanadu,walk,1.4,12
503,4,hs_social,Pi Beta Phi,walk,1.37,14
504,2,hs_humanities,Trancos,bike,5.35,12
505,2,hs_interdisc,Pi Beta Phi,walk,1.65,18
506,3,hs_social,Phi Kappa Psi,bike,5.11,15
507,1,engineering,Cedro,bike,4.44,14
508,2,hs_interdisc,EAST,walk,1.59,16
509,1,hs_humanities,Ujamaa,bike,5.56,14
510,2,hs_interdisc,Roble Hall,bike,4.4,19
511,3,hs_social,Storey,bike,4.37,13
512,3,hs_humanities,Mirrielees,bike,5.53,12
513,2,engineering,Burbank,bike,4.46,13
514,4,engineering,EVGR,bike,5.15,16
515,2,hs_interdisc,Crothers Memorial,bike,4.54,14
516,3,hs_social,Toyon,bike,4.29,14
517,2,engineering,Muwekma-Tah-Ruk,bike,4.6,17
518,1,engineering,Larkin,walk,1.58,12
519,2,hs_humanities,Casa Zapata,walk,1.59,15
520,4,engineering,Warehaus,bike,4.55,15
521,4,engineering,Govco Suites,bike,5.32,16
522,4,engineering,Cardenal,bike,4.64,17
523,1,engineering,Branner,walk,1.67,16
524,4,hs_humanities,Crothers Memorial,bike,5.08,13
525,1,engineering,Branner,bike,5.78,13
526,3,doerr,680 Lomita,walk,1.65,17
527,1,hs_interdisc,Okada,bike,4.88,13
528,1,engineering,Cardenal,bike,4.26,16
529,1,engineering,Arroyo,bike,5.17,15
530,3,engineering,Faisan,bike,5.37,15
531,4,hs_interdisc,EVGR,bike,4.01,13
532,1,engineering,Schiff,bike,5.42,18
533,1,hs_social,Schiff,walk,1.41,14
534,2,hs_natural,Trancos,bike,4.25,15
535,3,engineering,Sigma Phi Epsilon,bike,4.79,20
536,3,engineering,Gavilan,walk,1.68,16
537,2,engineering,Kappa Sigma,bike,5.65,13
538,1,hs_interdisc,Robinson,bike,5.58,16
539,4,hs_interdisc,EAST,bike,4.07,13
540,1,engineering,Arroyo,walk,1.33,13
541,1,hs_interdisc,Robinson,walk,1.38,15
542,4,engineering,EVGR,bike,5.15,17
543,3,hs_natural,Toyon,bike,4.58,15
544,3,engineering,EAST,walk,1.38,15
545,3,hs_interdisc,Okada,bike,4.63,12
546,3,hs_interdisc,Junipero,electric,7.51,12
547,2,engineering,Robert Moore North,bike,4.46,16
548,1,engineering,Cedro,walk,1.67,14
549,3,hs_interdisc,Yost,walk,1.59,17
550,1,engineering,Branner,bike,5.27,13
551,3,hs_natural,Roble Hall,bike,4.91,12
552,4,engineering,Potter,walk,1.45,13
553,3,hs_natural,Yost,bike,4.61,14
554,1,engineering,Larkin,bike,5.43,17
555,4,engineering,Ujamaa,walk,1.32,16
556,2,engineering,Roble Hall,bike,5.22,13
557,2,engineering,Roble Hall,bike,4.57,14
558,3,hs_interdisc,Crothers Memorial,bike,5.61,13
559,4,engineering,Trancos,bike,4.02,16
560,2,hs_humanities,Paloma,bike,5.66,15
561,1,hs_social,Arroyo,bike,4.79,14
562,1,hs_social,Otero,walk,1.6,17
563,1,engineering,Soto,bike,4.12,16
564,3,hs_humanities,Mirrielees,bike,4.93,15
