id,year,school,dorm,mode,speed,target_units,is_early_riser,is_coffee_drinker,coffee_destination,coffee_duration_min,eats_lunch_on_campus_base,lunch_eateries,lunch_dining_halls,lunch_will_go_dorm,lunch_duration_min,lunch_avanti_eligible,lunch_yme_eligible,home_return_threshold_min,library_use_rate,library_destinations,eats_dinner_on_campus,dinner_duration_min,gym_days_per_week,gym_destination,gym_duration_min
45,3,engineering,Meier,bike,5.58,13,True,True,CoHo,10,0.85,CODAB|CoHo|Panda,Lakeside|EVGR Dining,False,45,False,False,133,0.4,Y2E2|Huang,True,55,1,AOERC,35
46,1,engineering,Castano,walk,1.53,15,False,False,,11,0.85,Coupa Green|Panda|CoHo,Casper|Stern Dining,True,28,False,False,129,0.4,Y2E2|Lathrop,False,53,3,ACSR,55
47,1,engineering,Larkin,walk,1.63,15,True,False,,10,0.85,Coupa Green|Voyager|Subway,Stern Dining|Arrillaga,False,39,False,False,115,0.4,Lathrop|Green,True,50,0,ACSR,57
48,4,engineering,Govco Suites,bike,5.76,14,False,True,Coupa GSB,7,0.85,CODAB|Treehouse|Subway,Ricker|Lakeside,True,15,True,False,96,0.4,Huang|Y2E2,True,41,1,AOERC,30
49,4,hs_interdisc,Warehaus,walk,1.51,15,False,False,,10,0.85,Coupa GSB|Treehouse|Forbes,Stern Dining|Branner Dining,False,30,False,False,132,0.5,Green|Huang,False,15,2,ACSR,47
50,4,hs_interdisc,Roble Hall,bike,4.48,14,False,True,CODAB,8,0.85,CODAB|Olives|Treehouse,Lakeside|Ricker,False,19,False,False,150,0.5,Lane|Lathrop,False,35,1,AOERC,46
51,2,hs_interdisc,Faisan,bike,4.66,14,False,True,Starbucks,10,0.85,CoHo|Panda|Treehouse,FloMo Dining|Branner Dining,True,37,False,False,131,0.5,Lathrop|Green,False,27,4,AOERC,26
52,2,hs_social,Kimball,bike,5.65,18,True,False,,10,0.85,Panda|Coupa GSB|CODAB,Casper|Wilbur Dining,False,40,False,False,137,0.65,Lathrop|Y2E2,False,54,3,ACSR,83
53,2,hs_interdisc,Hammarskjold,bike,5.45,14,False,True,Coupa GSB,11,0.85,Treehouse|Coupa Y2E2|CoHo,Stern Dining|Arrillaga,False,41,False,False,61,0.5,Lathrop|Huang,False,51,0,ACSR,51
54,3,engineering,Narnia,walk,1.58,14,True,True,Coupa Green,10,0.85,Coupa Y2E2|Olives|Forbes,Stern Dining|Lakeside,True,28,False,False,140,0.4,Y2E2|Lathrop,True,39,1,AOERC,74
55,3,engineering,Mars,walk,1.67,14,False,True,Starbucks,8,0.85,CODAB|CoHo|Coupa GSB,Stern Dining|EVGR Dining,False,21,False,False,117,0.4,Huang|Lane,False,34,1,ACSR,65
56,4,hs_natural,Kappa Alpha Theta,bike,5.43,12,False,False,,7,0.85,Forbes|Coupa Green|Panda,Stern Dining|Wilbur Dining,False,35,False,False,119,0.5,Lathrop|Y2E2,False,48,0,ACSR,39
57,2,hs_interdisc,Casa Zapata,bike,4.31,17,True,False,,8,0.85,Olives|Panda|Forbes,Stern Dining|FloMo Dining,True,22,False,False,138,0.5,Y2E2|Green,False,37,3,ACSR,86
58,3,hs_interdisc,576 Alvarado,bike,5.44,18,False,True,Coupa GSB,9,0.85,Voyager|TAP|Treehouse,Stern Dining|Casper,True,15,False,False,82,0.5,Lane|Lathrop,True,41,0,ACSR,52
59,3,hs_humanities,Crothers Memorial,walk,1.34,15,True,False,,9,0.85,TAP|Voyager|Subway,Arrillaga|Ricker,True,33,False,False,145,0.65,Green|Y2E2,False,44,3,ACSR,58
60,2,hs_social,Toyon,bike,5.62,15,False,True,CODAB,5,0.85,Subway|TAP|Coupa Green,Branner Dining|Casper,True,24,False,False,133,0.65,Lathrop|Lane,True,50,4,ACSR,90
61,2,engineering,Kimball,walk,1.36,16,False,True,Starbucks,6,0.85,Coupa Green|TAP|Forbes,Casper|EVGR Dining,True,23,False,False,88,0.4,Y2E2|Lathrop,True,33,0,ACSR,77
62,2,engineering,Junipero,bike,5.69,15,False,True,Coupa GSB,9,0.85,TAP|Bytes|Coupa GSB,Wilbur Dining|Arrillaga,True,31,False,False,148,0.4,Lathrop|Huang,True,46,3,ACSR,89
63,2,engineering,Terra,bike,5.71,16,True,False,,7,0.85,Panda|Coupa Green|Subway,Stern Dining|FloMo Dining,True,17,False,False,115,0.4,Huang|Lathrop,False,40,1,ACSR,76
64,4,hs_interdisc,Crothers Memorial,bike,5.23,15,True,False,,8,0.85,Coupa GSB|Olives|Treehouse,Arrillaga|Branner Dining,True,29,False,False,94,0.5,Lathrop|Green,True,33,2,ACSR,33
65,2,hs_natural,Kimball,bike,4.8,15,False,False,,6,0.85,Panda|CoHo|TAP,Casper|EVGR Dining,True,34,False,False,102,0.5,Lathrop|Y2E2,False,41,3,ACSR,95
66,4,hs_social,Muwekma-Tah-Ruk,electric,7.76,14,True,True,Coupa Y2E2,6,0.85,Olives|Treehouse|Panda,Stern Dining|Casper,True,20,False,False,98,0.65,Lane|Green,True,46,0,AOERC,49
67,4,engineering,EVGR,bike,5.17,16,True,True,Forbes,10,0.85,CoHo|Forbes|Bytes,EVGR Dining|Branner Dining,False,28,False,False,137,0.4,Lathrop|Y2E2,True,27,0,ACSR,61
68,4,engineering,Ng,walk,1.61,16,False,True,Coupa GSB,6,0.85,Coupa GSB|CoHo|Treehouse,Casper|Lakeside,True,36,False,False,122,0.4,Huang|Green,True,31,1,ACSR,46
69,4,hs_social,Ujamaa,walk,1.32,12,True,True,Coupa GSB,7,0.85,CoHo|Treehouse|CODAB,Lakeside|FloMo Dining,True,13,False,False,133,0.65,Huang|Y2E2,False,44,0,AOERC,65
70,4,engineering,Mirrielees,walk,1.62,14,True,True,Coupa Green,8,0.85,Coupa Green|Panda|Treehouse,EVGR Dining|Arrillaga,True,34,False,False,109,0.4,Green|Y2E2,True,26,5,ACSR,44
71,4,hs_social,Govco Suites,walk,1.38,17,True,False,,9,0.85,Bytes|CODAB|Coupa GSB,Ricker|Lakeside,False,35,True,False,115,0.65,Lane|Y2E2,False,29,0,AOERC,104
72,3,hs_natural,Faisan,bike,4.35,14,False,False,,6,0.85,Subway|Treehouse|Forbes,FloMo Dining|Ricker,True,40,False,False,128,0.5,Huang|Y2E2,False,43,1,AOERC,45
73,3,doerr,Phi Kappa Psi,walk,1.55,15,False,True,Coupa GSB,10,0.85,Coupa Green|Treehouse|TAP,Stern Dining|Wilbur Dining,True,22,False,False,98,0.5,Lathrop|Green,False,45,2,ACSR,59
74,4,hs_social,Loro,walk,1.37,12,False,True,CoHo,6,0.85,Coupa Y2E2|Panda|Coupa Green,FloMo Dining|Arrillaga,True,25,False,False,140,0.65,Huang|Green,False,42,5,AOERC,30
75,2,hs_social,Sally Ride,bike,4.26,17,False,False,,9,0.85,CoHo|Coupa Green|Forbes,Stern Dining|Casper,True,23,False,False,170,0.65,Lathrop|Huang,False,33,4,ACSR,34
76,2,hs_interdisc,Toyon,bike,5.69,15,True,False,,8,0.85,CODAB|Treehouse|CoHo,Branner Dining|EVGR Dining,True,37,False,False,134,0.5,Lathrop|Y2E2,False,32,2,ACSR,20
77,3,hs_interdisc,Toyon,walk,1.35,15,False,True,Coupa GSB,8,0.85,Coupa Y2E2|Coupa Green|Forbes,Branner Dining|Arrillaga,True,25,False,False,127,0.5,Lathrop|Green,True,26,0,ACSR,58
78,2,hs_interdisc,Roble Hall,bike,4.74,13,True,True,Coupa Y2E2,9,0.85,Coupa Green|Panda|Treehouse,Lakeside|FloMo Dining,True,34,False,False,75,0.5,Huang|Y2E2,True,58,4,AOERC,45
79,1,hs_interdisc,Robinson,walk,1.47,18,False,False,,6,0.85,Voyager|Coupa Y2E2|Panda,Ricker|Lakeside,False,35,False,False,127,0.5,Lane|Huang,False,30,1,AOERC,62
80,1,hs_interdisc,Arroyo,bike,5.17,15,False,True,Bytes,8,0.85,Forbes|Voyager|TAP,Wilbur Dining|Arrillaga,False,33,False,False,68,0.5,Huang|Lane,False,47,3,ACSR,20
81,2,hs_social,Roble Hall,bike,5.13,20,False,True,CODAB,7,0.85,Coupa Y2E2|Olives|Coupa Green,Lakeside|Stern Dining,False,41,False,False,146,0.65,Huang|Green,True,30,4,AOERC,66
82,3,hs_social,Mirrielees,bike,4.91,14,False,True,CoHo,7,0.85,CoHo|Voyager|Panda,EVGR Dining|Casper,True,31,False,False,108,0.65,Green|Lathrop,True,27,1,ACSR,52
83,4,engineering,Govco Suites,bike,4.21,16,True,True,CODAB,8,0.85,Voyager|CoHo|Olives,Ricker|Casper,True,17,True,False,143,0.4,Huang|Lathrop,True,48,1,AOERC,76
84,4,engineering,Murray,bike,4.31,16,True,True,CoHo,10,0.85,Treehouse|Coupa Green|Panda,Ricker|Stern Dining,True,21,False,True,132,0.4,Lane|Huang,True,60,0,AOERC,40
85,3,engineering,Govco Suites,bike,4.67,16,False,True,Bytes,5,0.85,TAP|Olives|Subway,Ricker|Arrillaga,True,25,True,False,97,0.4,Y2E2|Huang,True,45,1,AOERC,20
86,3,engineering,Roble Hall,electric,7.99,15,True,False,,10,0.85,TAP|Coupa GSB|Coupa Green,Lakeside|Ricker,True,24,False,False,171,0.4,Y2E2|Green,False,38,2,AOERC,36
87,2,hs_social,Toyon,bike,5.15,14,False,True,Bytes,4,0.85,Coupa Y2E2|Coupa Green|Coupa GSB,Branner Dining|Wilbur Dining,True,27,False,False,141,0.65,Huang|Lane,False,47,1,ACSR,53
88,1,hs_interdisc,Alondra,walk,1.63,18,False,False,,9,0.85,Subway|Panda|CODAB,FloMo Dining|Lakeside,True,24,False,False,70,0.5,Huang|Green,True,38,0,AOERC,35
89,3,hs_natural,EVGR,walk,1.48,14,False,True,Starbucks,7,0.85,CODAB|Coupa Y2E2|Coupa Green,Arrillaga|FloMo Dining,True,33,False,False,146,0.5,Lathrop|Huang,True,50,2,ACSR,50
90,1,hs_social,West Lagunita,bike,4.27,13,True,False,,8,0.85,Coupa Green|TAP|Treehouse,Lakeside|Wilbur Dining,False,33,False,False,150,0.65,Lane|Huang,True,44,0,AOERC,39
91,4,engineering,Ng,bike,4.88,17,False,True,CoHo,9,0.85,Subway|CoHo|Forbes,Casper|Lakeside,True,39,False,False,150,0.4,Huang|Lathrop,True,54,4,ACSR,45
92,2,engineering,Gavilan,bike,5.15,14,True,True,Coupa Y2E2,4,0.85,Panda|Forbes|CODAB,FloMo Dining|Casper,True,19,False,False,133,0.4,Y2E2|Green,False,56,3,AOERC,20
93,3,hs_social,Burbank,bike,4.97,16,False,False,,10,0.85,Coupa Green|Panda|Subway,Stern Dining|Branner Dining,True,39,False,False,93,0.65,Lathrop|Y2E2,False,51,2,ACSR,91
94,4,hs_interdisc,Toussaint,bike,4.91,14,True,False,,14,0.85,Coupa Y2E2|CODAB|Coupa Green,Stern Dining|FloMo Dining,True,19,False,False,69,0.5,Lathrop|Green,False,52,0,ACSR,64
95,3,hs_natural,Norcliffe,bike,4.96,13,False,True,Coupa GSB,6,0.85,Forbes|CoHo|Treehouse,Lakeside|Casper,True,35,False,False,52,0.5,Y2E2|Lathrop,True,42,4,AOERC,49
96,2,hs_humanities,Sally Ride,walk,1.44,16,True,True,CoHo,10,0.85,Coupa Y2E2|Coupa Green|Coupa GSB,Stern Dining|Wilbur Dining,True,35,False,False,99,0.65,Huang|Lathrop,True,42,0,ACSR,47
97,1,hs_humanities,West Lagunita,bike,5.08,14,False,False,,9,0.85,Coupa Y2E2|CODAB|Bytes,Lakeside|Ricker,False,50,False,False,88,0.65,Lathrop|Green,True,52,1,AOERC,76
98,2,hs_social,Sally Ride,electric,7.24,17,True,True,Starbucks,9,0.85,Coupa GSB|TAP|CoHo,Stern Dining|Arrillaga,True,29,False,False,163,0.65,Huang|Green,True,43,0,ACSR,34
99,4,hs_humanities,Mars,electric,7.56,12,False,False,,8,0.85,CODAB|Forbes|Subway,Stern Dining|FloMo Dining,False,19,False,False,116,0.65,Lathrop|Green,True,43,0,ACSR,66
100,1,hs_social,West Lagunita,bike,5.18,18,False,True,Coupa GSB,8,0.85,Coupa GSB|Forbes|Olives,Lakeside|Casper,False,35,False,False,98,0.65,Green|Y2E2,False,46,4,AOERC,38
101,4,engineering,Narnia,bike,4.62,12,False,True,Coupa GSB,6,0.85,Bytes|Olives|Subway,Stern Dining|Branner Dining,True,43,False,False,94,0.4,Y2E2|Green,True,31,0,AOERC,59
102,1,hs_social,Donner,electric,6.93,12,False,True,Coupa GSB,6,0.85,Coupa Y2E2|Forbes|Bytes,Stern Dining|Arrillaga,True,10,False,False,173,0.65,Green|Lathrop,True,15,0,ACSR,69
103,2,hs_social,Burbank,bike,5.44,16,False,True,Coupa GSB,12,0.85,Voyager|Coupa GSB|Coupa Green,Stern Dining|Casper,False,31,False,False,115,0.65,Lathrop|Green,False,66,0,ACSR,68
104,4,engineering,Roble Hall,walk,1.34,15,True,False,,6,0.85,Coupa GSB|Bytes|Coupa Y2E2,Lakeside|Stern Dining,False,28,False,False,55,0.4,Y2E2|Huang,False,54,6,AOERC,63
105,3,hs_social,Mirrielees,bike,5.44,15,False,True,Coupa Y2E2,11,0.85,Coupa Green|TAP|Bytes,EVGR Dining|Branner Dining,True,35,False,False,104,0.65,Lathrop|Huang,True,22,0,ACSR,39
106,1,hs_interdisc,Burbank,walk,1.51,13,False,True,CoHo,5,0.85,Coupa GSB|Coupa Green|Voyager,Stern Dining|Wilbur Dining,False,23,False,False,134,0.5,Green|Huang,False,40,0,ACSR,87
107,1,hs_interdisc,Casa Zapata,bike,4.43,12,True,True,CoHo,8,0.85,Panda|Coupa Green|Coupa GSB,Stern Dining|Arrillaga,True,34,False,False,95,0.5,Y2E2|Huang,True,40,3,ACSR,42
108,2,hs_natural,Kimball,bike,4.71,14,True,False,,6,0.85,Coupa GSB|TAP|Coupa Green,Casper|FloMo Dining,True,16,False,False,93,0.5,Green|Huang,True,39,3,ACSR,107
109,4,engineering,Okada,bike,5.29,16,True,True,Bytes,6,0.85,Forbes|Panda|Coupa GSB,Wilbur Dining|Ricker,False,27,False,False,175,0.4,Y2E2|Huang,False,51,0,ACSR,34
110,4,engineering,Roble Hall,walk,1.53,12,True,True,Starbucks,9,0.85,TAP|Coupa GSB|Panda,Lakeside|Ricker,True,28,False,False,91,0.4,Green|Huang,True,58,2,AOERC,31
111,2,hs_humanities,Naranja,walk,1.45,12,False,True,CoHo,7,0.85,Forbes|Bytes|Coupa Y2E2,Lakeside|Wilbur Dining,True,25,False,False,102,0.65,Lathrop|Green,True,45,2,AOERC,81
112,1,engineering,West Lagunita,bike,4.62,14,True,True,Bytes,7,0.85,Treehouse|Forbes|Subway,Lakeside|FloMo Dining,True,35,False,False,156,0.4,Huang|Lathrop,True,35,0,AOERC,62
113,4,hs_social,Columbae,bike,5.61,12,False,False,,6,0.85,Coupa Y2E2|Forbes|Voyager,Stern Dining|Arrillaga,True,32,False,False,130,0.65,Huang|Lathrop,True,32,4,ACSR,65
114,2,hs_humanities,Norcliffe,bike,5.06,15,False,False,,10,0.85,Forbes|CoHo|CODAB,Lakeside|EVGR Dining,False,27,False,False,135,0.65,Green|Lathrop,False,46,2,AOERC,75
115,2,engineering,Kimball,walk,1.65,15,False,True,CoHo,11,0.85,Coupa Y2E2|Panda|Voyager,Casper|Ricker,True,20,False,False,105,0.4,Y2E2|Lathrop,False,31,3,ACSR,65
116,3,hs_social,Xanadu,bike,4.86,17,True,False,,7,0.85,Olives|Forbes|Coupa Green,Stern Dining|FloMo Dining,False,25,False,False,126,0.65,Lathrop|Huang,True,31,0,AOERC,53
117,3,hs_natural,Mirrielees,bike,4.33,16,False,False,,9,0.85,Treehouse|Coupa Green|Olives,EVGR Dining|FloMo Dining,True,33,False,False,71,0.5,Huang|Lathrop,False,40,0,ACSR,46
118,1,hs_social,Otero,bike,4.78,16,False,True,Coupa GSB,7,0.85,Bytes|Subway|Forbes,Wilbur Dining|Branner Dining,True,38,False,False,108,0.65,Green|Huang,True,38,6,ACSR,29
119,4,engineering,Ujamaa,walk,1.33,13,False,True,Starbucks,8,0.85,Coupa Y2E2|CoHo|Treehouse,Lakeside|Arrillaga,True,27,False,False,116,0.4,Green|Lathrop,False,59,1,AOERC,63
120,3,engineering,Burbank,walk,1.45,17,True,False,,9,0.85,CODAB|TAP|Voyager,Stern Dining|Branner Dining,True,44,False,False,114,0.4,Huang|Y2E2,False,39,2,ACSR,91
121,3,engineering,Adelfa,bike,4.75,14,True,False,,10,0.85,Bytes|Forbes|Coupa Green,Lakeside|FloMo Dining,True,31,False,False,176,0.4,Huang|Y2E2,True,34,3,AOERC,58
122,1,hs_natural,Branner,bike,4.88,12,False,True,CODAB,8,0.85,Coupa Green|TAP|Coupa GSB,Branner Dining|Arrillaga,False,29,False,False,85,0.5,Lathrop|Y2E2,True,53,0,ACSR,73
123,2,hs_social,Enchanted Broccoli Forest,bike,4.58,12,False,False,,8,0.85,Olives|Subway|Bytes,Stern Dining|Arrillaga,True,29,False,False,73,0.65,Lathrop|Huang,False,52,4,AOERC,89
124,2,hs_social,Faisan,bike,5.67,12,False,False,,5,0.85,Voyager|TAP|CODAB,FloMo Dining|Arrillaga,True,38,False,False,157,0.65,Y2E2|Lathrop,False,41,0,AOERC,53
125,2,hs_social,Otero,walk,1.36,15,False,True,Starbucks,7,0.85,TAP|Coupa Y2E2|CODAB,Wilbur Dining|Stern Dining,False,44,False,False,102,0.65,Huang|Y2E2,True,23,2,ACSR,35
126,1,engineering,Branner,walk,1.55,17,True,True,Coupa Green,7,0.85,Voyager|CoHo|Coupa Green,Branner Dining|FloMo Dining,True,38,False,False,171,0.4,Huang|Lathrop,False,42,3,ACSR,42
127,3,hs_interdisc,Mirrielees,walk,1.64,18,True,False,,10,0.85,Coupa GSB|TAP|Panda,EVGR Dining|Arrillaga,True,18,False,False,105,0.5,Huang|Y2E2,True,40,0,ACSR,25
