course_code,subject,title,units_min,units_max,term,section_num,component,max_enrolled,curr_enrolled,building,days,start_time,end_time,start_date,end_date,school,level_num,level,section_id,is_anchor
106A,CS,Programming Methodology,3,5,2025-2026 Spring,26,DIS,15,0,Lathrop 017,Thursday,5:30:00 PM,6:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-26,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,54,DIS,15,0,460-334,Friday,2:30:00 PM,3:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-54,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,52,DIS,15,0,110-114,Friday,2:30:00 PM,3:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-52,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,19,DIS,15,0,Thornton 210,Thursday,10:30:00 AM,11:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-19,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,29,DIS,15,0,260-011,Thursday,5:30:00 PM,6:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-29,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,51,DIS,15,0,250-108,Friday,2:30:00 PM,3:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-51,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,28,DIS,15,1,Thornton 208,Thursday,5:30:00 PM,6:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-28,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,47,DIS,15,3,Lathrop 017,Friday,12:30:00 PM,1:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-47,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,48,DIS,15,4,STLC 104,Friday,12:30:00 PM,1:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-48,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,50,DIS,15,0,Encina West 108,Friday,2:30:00 PM,3:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-50,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,49,DIS,15,1,Thornton 209,Friday,2:30:00 PM,3:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-49,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,31,DIS,15,1,50-51P,Thursday,6:30:00 PM,7:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-31,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,59,DIS,15,3,Lathrop 015,Friday,3:30:00 PM,4:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-59,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,23,DIS,15,1,460-301,Thursday,4:30:00 PM,5:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-23,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,39,DIS,15,3,200-201,Friday,10:30:00 AM,11:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-39,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,45,DIS,15,5,160-326,Friday,12:30:00 PM,1:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-45,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,35,DIS,15,2,Departmental Room,Friday,8:30:00 AM,9:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-35,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,12,DIS,15,7,Departmental Room,Wednesday,6:30:00 PM,7:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-12,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,18,DIS,15,0,Departmental Room,Thursday,10:30:00 AM,11:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-18,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,44,DIS,15,1,110-101,Friday,11:30:00 AM,12:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-44,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,57,DIS,15,1,"Knight Building, Room K18",Friday,3:30:00 PM,4:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-57,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,36,DIS,15,1,Lathrop 017,Friday,9:30:00 AM,10:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-36,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,34,DIS,15,1,STLC 105,Thursday,7:30:00 PM,8:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-34,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,32,DIS,15,4,Lathrop 017,Thursday,7:30:00 PM,8:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-32,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,41,DIS,15,1,STLC 118,Friday,10:30:00 AM,11:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-41,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,22,DIS,15,9,460-429,Thursday,4:30:00 PM,5:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-22,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,30,DIS,15,4,Thornton 208,Thursday,6:30:00 PM,7:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-30,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,20,DIS,15,4,Encina Center 464,Thursday,10:30:00 AM,11:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-20,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,40,DIS,15,1,50-51B,Friday,10:30:00 AM,11:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-40,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,14,DIS,15,5,460-301,Thursday,9:30:00 AM,10:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-14,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,60,DIS,15,1,ANKO 008,Friday,3:30:00 PM,4:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-60,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,17,DIS,15,6,McMurtry Art Building 360,Thursday,10:30:00 AM,11:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-17,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,11,DIS,15,11,460-334,Wednesday,6:30:00 PM,7:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-11,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,16,DIS,15,13,Lathrop 296,Thursday,10:30:00 AM,11:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-16,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,21,DIS,15,12,200-015,Thursday,4:30:00 PM,5:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-21,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,38,DIS,15,5,Gilbert Biological Science 117,Friday,10:30:00 AM,11:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-38,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,43,DIS,15,3,460-301,Friday,11:30:00 AM,12:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-43,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,15,DIS,15,1,Thornton 208,Thursday,9:30:00 AM,10:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-15,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,1,LEC,999,191,Hewlett Teaching Center 200,"Monday,Wednesday,Friday",2:30:00 PM,3:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-LEC-01,True
106A,CS,Programming Methodology,3,5,2025-2026 Spring,42,DIS,15,8,20-21B,Friday,11:30:00 AM,12:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-42,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,24,DIS,15,2,110-114,Thursday,4:30:00 PM,5:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-24,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,25,DIS,15,7,Departmental Room,Thursday,5:30:00 PM,6:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-25,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,13,DIS,15,4,STLC 105,Thursday,8:30:00 AM,9:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-13,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,55,DIS,15,9,Lathrop 017,Friday,3:30:00 PM,4:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-55,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,58,DIS,15,0,160-129,Friday,3:30:00 PM,4:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-58,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,27,DIS,15,0,200-015,Thursday,5:30:00 PM,6:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-27,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,53,DIS,15,0,STLC 104,Friday,2:30:00 PM,3:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-53,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,44,DIS,15,0,STLC 118,Friday,11:30:00 AM,12:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-44,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,42,DIS,15,0,STLC 104,Friday,11:30:00 AM,12:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-42,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,31,DIS,15,0,STLC 118,Thursday,7:30:00 PM,8:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-31,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,52,DIS,15,0,Thornton 207,Friday,2:30:00 PM,3:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-52,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,26,DIS,15,0,Departmental Room,Thursday,5:30:00 PM,6:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-26,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,23,DIS,15,2,STLC 118,Thursday,4:30:00 PM,5:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-23,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,36,DIS,15,2,Lathrop 015,Friday,9:30:00 AM,10:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-36,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,55,DIS,15,2,STLC 105,Friday,2:30:00 PM,3:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-55,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,28,DIS,15,1,ANKO 008,Thursday,6:30:00 PM,7:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-28,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,29,DIS,15,3,Lathrop 017,Thursday,6:30:00 PM,7:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-29,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,9,DIS,15,0,200-015,Wednesday,5:30:00 PM,6:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-09,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,21,DIS,15,3,STLC 104,Thursday,4:30:00 PM,5:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-21,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,41,DIS,15,2,STLC 119,Friday,11:30:00 AM,12:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-41,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,49,DIS,15,5,160-329,Friday,12:30:00 PM,1:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-49,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,59,DIS,15,3,STLC 119,Friday,3:30:00 PM,4:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-59,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,57,DIS,15,0,Departmental Room,Friday,3:30:00 PM,4:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-57,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,51,DIS,15,0,STLC 119,Friday,2:30:00 PM,3:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-51,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,48,DIS,15,2,110-101,Friday,12:30:00 PM,1:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-48,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,22,DIS,15,1,260-011,Thursday,4:30:00 PM,5:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-22,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,13,DIS,15,1,Gilbert Biological Science 117,Thursday,8:30:00 AM,9:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-13,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,40,DIS,15,1,460-301,Friday,10:30:00 AM,11:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-40,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,25,DIS,15,1,Lathrop 015,Thursday,5:30:00 PM,6:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-25,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,11,DIS,15,2,ANKO 008,Wednesday,6:30:00 PM,7:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-11,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,12,DIS,15,1,460-301,Wednesday,6:30:00 PM,7:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-12,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,18,DIS,15,4,Departmental Room,Thursday,10:30:00 AM,11:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-18,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,37,DIS,15,8,STLC 119,Friday,10:30:00 AM,11:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-37,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,54,DIS,15,0,160-129,Friday,2:30:00 PM,3:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-54,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,35,DIS,15,0,STLC 104,Friday,9:30:00 AM,10:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-35,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,20,DIS,15,3,260-002,Thursday,4:30:00 PM,5:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-20,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,56,DIS,15,0,STLC 105,Friday,3:30:00 PM,4:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-56,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,17,DIS,15,7,Encina West 101,Thursday,10:30:00 AM,11:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-17,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,43,DIS,15,1,260-004,Friday,11:30:00 AM,12:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-43,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,8,DIS,15,5,200-201,Wednesday,5:30:00 PM,6:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-08,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,38,DIS,15,1,260-004,Friday,10:30:00 AM,11:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-38,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,6,DIS,15,7,200-015,Wednesday,4:30:00 PM,5:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-06,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,46,DIS,15,3,STLC 119,Friday,12:30:00 PM,1:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-46,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,30,DIS,15,1,Departmental Room,Thursday,6:30:00 PM,7:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-30,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,10,DIS,15,2,240-110,Wednesday,5:30:00 PM,6:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-10,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,19,DIS,15,11,STLC 119,Thursday,4:30:00 PM,5:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-19,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,32,DIS,15,2,STLC 104,Thursday,7:30:00 PM,8:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-32,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,50,DIS,15,6,Lathrop 015,Friday,2:30:00 PM,3:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-50,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,47,DIS,15,2,160-328,Friday,12:30:00 PM,1:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-47,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,7,DIS,15,7,50-52E,Wednesday,4:30:00 PM,5:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-07,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,15,DIS,15,5,460-334,Thursday,9:30:00 AM,10:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-15,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,39,DIS,15,0,110-101,Friday,10:30:00 AM,11:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-39,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,14,DIS,15,9,Gilbert Biological Science 117,Thursday,9:30:00 AM,10:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-14,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,16,DIS,15,11,STLC 105,Thursday,10:30:00 AM,11:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-16,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,2,DIS,15,15,Departmental Room,Wednesday,2:30:00 PM,3:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-02,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,4,DIS,15,10,460-429,Wednesday,3:30:00 PM,4:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-04,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,45,DIS,15,7,110-114,Friday,12:30:00 PM,1:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-45,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,33,DIS,15,1,Gilbert Biological Science 117,Friday,8:30:00 AM,9:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-33,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,34,DIS,15,2,Gilbert Biological Science 117,Friday,9:30:00 AM,10:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-34,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,24,DIS,15,1,460-301,Thursday,5:30:00 PM,6:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-24,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,3,DIS,15,13,Departmental Room,Wednesday,3:30:00 PM,4:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-03,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,5,DIS,15,13,Departmental Room,Wednesday,4:30:00 PM,5:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-05,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,61,DIS,15,4,STLC 118,Friday,3:30:00 PM,4:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-61,False
106B,CS,Programming Abstractions,3,5,2025-2026 Spring,60,DIS,15,1,Gates100,Friday,3:30:00 PM,4:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106B-DIS-60,False
